id,code,name_in_thai,name_in_english,province_id
444,4413,"ชื่นชม","Chuen Chom",33
445,4501,"เมืองร้อยเอ็ด","Mueang Roi Et",34
446,4502,"เกษตรวิสัย","Kaset Wisai",34
447,4503,"ปทุมรัตต์","Pathum Rat",34
448,4504,"จตุรพักตรพิมาน","Chaturaphak Phiman",34
449,4505,"ธวัชบุรี","Thawat Buri",34
450,4506,"พนมไพร","Phanom Phrai",34
451,4507,"โพนทอง","Phon Thong",34
452,4508,"โพธิ์ชัย","Pho Chai",34
453,4509,"หนองพอก","Nong Phok",34
454,4510,"เสลภูมิ","Selaphum",34
455,4511,"สุวรรณภูมิ","Suwannaphum",34
456,4512,"เมืองสรวง","Mueang Suang",34
457,4513,"โพนทราย","Phon Sai",34
458,4514,"อาจสามารถ","At Samat",34
459,4515,"เมยวดี","Moei Wadi",34
460,4516,"ศรีสมเด็จ","Si Somdet",34
461,4517,"จังหาร","Changhan",34
462,4518,"เชียงขวัญ","Chiang Khwan",34
463,4519,"หนองฮี","Nong Hi",34
464,4520,"ทุ่งเขาหลวง","Thung Khao Luang",34
465,4601,"เมืองกาฬสินธุ์","Mueang Kalasin",35
466,4602,"นามน","Na Mon",35
467,4603,"กมลาไสย","Kamalasai",35
468,4604,"ร่องคำ","Rong Kham",35
469,4605,"กุฉินารายณ์","Kuchinarai",35
470,4606,"เขาวง","Khao Wong",35
471,4607,"ยางตลาด","Yang Talat",35
472,4608,"ห้วยเม็ก","Huai Mek",35
473,4609,"สหัสขันธ์","Sahatsakhan",35
474,4610,"คำม่วง","Kham Muang",35
475,4611,"ท่าคันโท","Tha Khantho",35
476,4612,"หนองกุงศรี","Nong Kung Si",35
477,4613,"สมเด็จ","Somdet",35
478,4614,"ห้วยผึ้ง","Huai Phueng",35
479,4615,"สามชัย","Sam Chai",35
480,4616,"นาคู","Na Khu",35
481,4617,"ดอนจาน","Don Chan",35
482,4618,"ฆ้องชัย","Khong Chai",35
483,4701,"เมืองสกลนคร","Mueang Sakon Nakhon",36
484,4702,"กุสุมาลย์","Kusuman",36
485,4703,"กุดบาก","Kut Bak",36
486,4704,"พรรณานิคม","Phanna Nikhom",36
487,4705,"พังโคน","Phanh khon",36
488,4706,"วาริชภูมิ","Waritchaphum",36
489,4707,"นิคมน้ำอูน","Nikhom Nam un",36
490,4708,"วานรนิวาส","Wanon Niwat",36
491,4709,"คำตากล้า","Kham Ta Kla",36
492,4710,"บ้านม่วง","Ban Muang",36
493,4711,"อากาศอำนวย","Akat Amnuai",36
494,4712,"สว่างแดนดิน","Sawang Daen Din",36
495,4713,"ส่องดาว","Song Dao",36
496,4714,"เต่างอย","Tao Ngoi",36
497,4715,"โคกศรีสุพรรณ","Khok Si Suphan",36
498,4716,"เจริญศิลป์","Charoen Sin",36
499,4717,"โพนนาแก้ว","Phon Na Kaeo",36
500,4718,"ภูพาน","Phu Phan",36
501,4801,"เมืองนครพนม","Mueang Nakhon Phanom",37
502,4802,"ปลาปาก","Pla Pak",37
503,4803,"ท่าอุเทน","Tha Uthen",37
504,4804,"บ้านแพง","Ban Phaeng",37
505,4805,"ธาตุพนม","That Phanom",37
506,4806,"เรณูนคร","Renu Nakhon",37
507,4807,"นาแก","Na Kae",37
508,4808,"ศรีสงคราม","Si Songkhram",37
509,4809,"นาหว้า","Na Wa",37
510,4810,"โพนสวรรค์","Phon Sawan",37
511,4811,"นาทม","Na Thom",37
512,4812,"วังยาง","Wang Yang",37
513,4901,"เมืองมุกดาหาร","Mueang Mukdahan",38
514,4902,"นิคมคำสร้อย","Nikhom Kham Soi",38
515,4903,"ดอนตาล","Don Tan",38
516,4904,"ดงหลวง","Don Tan",38
517,4905,"คำชะอี","Khamcha-i",38
518,4906,"ว่านใหญ่","Wan Yai",38
519,4907,"หนองสูง","Nong Sung",38
520,5001,"เมืองเชียงใหม่","Mueang Chiang Mai",39
521,5002,"จอมทอง","Chom Thong",39
522,5003,"แม่แจ่ม","Mae Chaem",39
523,5004,"เชียงดาว","Chiang Dao",39
524,5005,"ดอยสะเก็ด","Doi Saket",39
525,5006,"แม่แตง","Mae Taeng",39
526,5007,"แม่ริม","Mae Rim",39
527,5008,"สะเมิง","Samoeng",39
528,5009,"ฝาง","Fang",39
529,5010,"แม่อาย","Mae Ai",39
530,5011,"พร้าว","Phrao",39
531,5012,"สันป่าตอง","San Pa Tong",39
532,5013,"สันกำแพง","San Kamphaeng",39
533,5014,"สันทราย","San Sai",39
534,5015,"หางดง","Hang Dong",39
535,5016,"ฮอด","Hot",39
536,5017,"ดอยเต่า","Doi Tao",39
537,5018,"อมก๋อย","Omkoi",39
538,5019,"สารภี","Saraphi",39
539,5020,"เวียงแหง","Wiang Haeng",39
540,5021,"ไชยปราการ","Chai Prakan",39
541,5022,"แม่วาง","Mae Wang",39
542,5023,"แม่ออน","Mae On",39
543,5024,"ดอยหล่อ","Doi Lo",39
544,5025,"กัลยาณิวัฒนา","Kanlayaniwatthana",39
545,5101,"เมืองลำพูน","Mueang Lamphun",40
546,5102,"แม่ทา","Mae Tha",40
547,5103,"บ้านโฮ่ง","Ban Hong",40
548,5104,"ลี้","Li",40
549,5105,"ทุ่งหัวช้าง","Thung Hua Chang",40
550,5106,"ป่าซาง","Pa Sang",40
551,5107,"บ้านธิ","Ban Thi",40
